圖片ID,檔案名稱,類型,角色,章節,描述,Gemini提示詞
SC01_01,scene_kaoru_ch1_meet.png,場景CG,小薰,第1章,展場碰撞瞬間,"Anime style, indoor exhibition hall, bright lighting. A young man in a work T-shirt bumps into a beautiful showgirl in a tight red car-show uniform. Makeup powder flying in the air. The girl looks surprised with big expressive eyes. Dynamic angle, comedic moment. High quality, detailed background with car show booths."
SC01_02,scene_kaoru_ch1_laugh.png,場景CG,小薰,第1章,小薰笑出來的瞬間,"Anime style, close-up portrait of a beautiful 22-year-old girl with long wavy hair, wearing a red exhibition uniform, laughing genuinely with her hand near her mouth. Warm lighting, sparkle effects around her. Her eyes are crescent-shaped from smiling. Blurred exhibition hall background. High quality illustration."
SC01_03,scene_kaoru_ch1_wipe.png,場景CG,小薰,第1章,4J用衣服幫她擦,"Anime style, a young man awkwardly using his T-shirt hem to wipe spilled foundation from a pretty girl's hand. The girl looks amused and slightly embarrassed. Indoor exhibition setting, warm lighting. Intimate close-up composition. Detailed hands and fabric texture."
SC01_04,scene_kaoru_ch2_cry.png,場景CG,小薰,第2章,小薰在道具間哭泣,"Anime style, a beautiful young woman sitting alone in a dim backstage storage room, crying with tears on her cheeks. She's still wearing her showgirl uniform but her hair is messy. Dramatic lighting from a single overhead light. Emotional scene, melancholic atmosphere. Cardboard boxes and props around her. High quality."
SC01_05,scene_kaoru_ch2_hand.png,場景CG,小薰,第2章,4J拉起她的手,"Anime style, dramatic close-up of a young man's hand firmly grabbing a crying girl's delicate hand, pulling her up. Low angle shot. Backlit with warm light from a doorway. Emotional, determined expression on the man's face. The girl looks up with tearful but hopeful eyes. Cinematic composition."
SC01_06,scene_kaoru_ch2_resolve.png,場景CG,小薰,第2章,兩人一起去找主辦方,"Anime style, a young man walking determinedly through a busy exhibition hallway, holding a pretty girl's hand behind him. She follows with a mix of surprise and trust on her face. Dynamic walking pose, exhibition banners and crowds in the blurred background. Warm color palette."
SC01_07,scene_kaoru_ch3_tamsui.png,場景CG,小薰,第3章,淡水老街約會,"Anime style, a young couple walking through a traditional Taiwanese old street (Tamsui), eating street food. The girl has long wavy hair in casual clothes (sundress), the boy in a casual shirt. Warm sunset lighting, traditional food stalls and red lanterns in background. Romantic and lively atmosphere. High quality illustration."
SC01_08,scene_kaoru_ch3_sunset.png,場景CG,小薰,第3章,漁人碼頭日落告白,"Anime style, breathtaking sunset scene at a waterfront pier. A young man facing a beautiful girl with long flowing hair blown by sea breeze. Golden hour lighting, orange and purple sky reflected on water. The girl's eyes are glistening with emotion. Romantic atmosphere, dramatic lens flare. Cinematic wide shot. High quality."
SC01_09,scene_kaoru_ch3_blush.png,場景CG,小薰,第3章,小薰害羞接受,"Anime style, extreme close-up of a beautiful girl's face blushing deeply, her hands covering her cheeks. Long wavy hair flowing in the wind. Sunset backlighting creating a warm glow. Sparkling eyes with happy tears. Bokeh light effects. Dreamy romantic atmosphere. Ultra detailed portrait."
SC01_10,scene_kaoru_ch4_rain.png,場景CG,小薰,第4章,雨中奔跑,"Anime style, a young couple running through heavy rain in a city street at night. Neon lights reflecting on wet pavement. The girl in a white blouse and the boy holding his jacket over her head. Dynamic running pose, rain droplets frozen in mid-air. Cinematic lighting. High energy scene."
SC01_11,scene_kaoru_ch4_tshirt.png,場景CG,小薰,第4章,小薰穿著大T-shirt,"Anime style, a beautiful girl standing shyly in a small apartment doorway after a shower, wearing an oversized men's T-shirt that falls to her mid-thigh. Her long hair is damp and slightly tousled. Warm interior lighting, rain visible through the window behind her. Shy expression, holding the shirt hem. Intimate and tender atmosphere. Soft lighting."
SC01_12,scene_kaoru_ch4_gaze.png,場景CG,小薰,第4章,兩人在床邊對望,"Anime style, intimate scene of a young couple sitting on a bed facing each other in a small cozy apartment. Rain on the window. Warm dim lamp light. The girl in an oversized shirt, the boy in a tank top. Their faces close, eyes locked, the atmosphere charged with tension. Soft bokeh rain lights through the window. Romantic and passionate mood."
SC01_13,scene_kaoru_ch5_shop.png,場景CG,小薰,第5章,花店開幕日,"Anime style, a beautiful small flower shop grand opening scene. A pretty girl in a cute floral apron standing at the entrance surrounded by colorful flowers. Ribbon cutting ceremony, warm sunlight. Joyful expression with tears of happiness. A young man standing beside her proudly. Festive atmosphere. Vibrant colors. High quality."
SC01_14,scene_kaoru_ch5_embrace.png,場景CG,小薰,第5章,花香中的擁抱,"Anime style, emotional embrace between a young couple inside a flower shop. The girl in a floral apron hugging the boy tightly, tears of joy on her face. Surrounded by roses, lilies and sunflowers. Warm golden lighting, flower petals floating in the air. Deeply emotional and romantic scene. Cinematic composition."
SC01_15,scene_kaoru_ch5_ending_cg.png,場景CG,小薰,第5章,結局CG,"Anime style, ending CG illustration. A couple kissing tenderly among flowers in a beautiful shop. The girl's long wavy hair flowing, petals swirling around them. Dreamy soft focus background. Warm pink and golden color palette. Magical sparkle effects. Ultra high quality, poster-worthy illustration."
